Line #,Description,Designator,Quantity,Manufacturer,Part Number,Purchasing Link

"1","CAP CER 1UF 25V X7R 0805","C1, C2, C9, C10, C19, C20","6","Samsung","CL21B105KAFNFNE","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNFNE/3888584"
"2","CAP CER 0.1UF 25V X7R 0805","C3, C13, C14, C15, C16","5","Samsung","CL21B104KACNNNC","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KACNNNC/3886757"
"3","CAP TANT 0.1UF 10% 35V 0805","C4, C6, C21","3","Kyocera AVX","TAJR104K035RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR104K035RNJ/1470303"
"4","CAP TANT 2.2UF 10% 20V 0805","C5, C8","2","Kyocera AVX","TAJR225K020RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR225K020RNJ/1765927"
"5","CAP TANT 0.47UF 10% 20V 0805","C7","1","Kyocera AVX","TAJR474K020RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR474K020RNJ/1126892"
"6","CAP TANT 10UF 20% 6.3V 0805","C11, C12","2","Kyocera AVX","TAJR106M006RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR106M006RNJ/808790"
"7","CAP CER 10UF 10V X7R 0805","C17, C18","2","Samsung","CL21B106KPQNFNE","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B106KPQNFNE/3888592"
"8","LED GREEN CLEAR CHIP SMD","D1","1","Vishay Lite-On","LTST-C171GKT","https://www.digikey.com/en/products/detail/liteon/LTST-C171GKT/386793"
"9","FERRITE BEAD 1K OHM 0805 1LN","FB1, FB3","2","Vishay Dale","ILBB0805ER102V","https://www.digikey.com/en/products/detail/vishay-dale/ILBB0805ER102V/2574904"
"10","FERRITE BEAD 220 OHM 0805 1LN","FB2","1","Murata","BLM21PG221SN1D","https://www.digikey.com/en/products/detail/murata-electronics/BLM21PG221SN1D/364909"
"11","CONN HDR 20POS 0.1 TIN SMD","J1, J2","2","Sullins","NPTC102KFMS-RC","https://www.digikey.com/en/products/detail/sullins-connector-solutions/NPTC102KFMS-RC/776139"
"12","CONN JACK STEREO 3.5MM SMD R/A","J3","1","CUI Devices","SJ-3523-SMT-TR","https://www.digikey.com/en/products/detail/cui-devices/SJ-3523-SMT-TR/281297"
"13","TERMINAL BLOCK, SCREW TYPE, 5.00","J4, J5","2","CUI Devices","TB001-500-02BE","https://www.digikey.com/en/products/detail/cui-devices/TB001-500-02BE/10064058"
"14","MIC COND ANLG OMNI -44DB 0.382""D","MK1","1","CUI Devices","CMA-4544PF-W","https://www.digikey.com/en/products/detail/cui-devices/CMA-4544PF-W/1869981"
"15","RES 330 OHM 1% 1/4W 0805","R1","1","Yageo","RC0805FR-7W330RL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-7W330RL/12698865"
"16","RES 100K OHM 1% 1/4W 0805","R2","1","Yageo","RC0805FR-7W100KL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-7W100KL/16982223"
"17","RES 150K OHM 1% 1/8W 0805","R3","1","Yageo","RC0805FR-07150KL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07150KL/727614"
"18","RES 2.2K OHM 1% 1/8W 0805","R4","1","Yageo","RC0805FR-072K2L","https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K2L/727676"
"19","RES 20K OHM 1% 1/8W 0805","R5","1","Yageo","RC0805FR-0720KL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0720KL/727720"
"20","IC XPND 400KHZ I2C SMBUS 24TSSOP","U1","1","NXP Semiconductors","PCA9555PW,118","https://www.digikey.com/en/products/detail/nxp-usa-inc/PCA9555PW-118/735672"
"21","IC VREF SERIES 0.15% SOT23-5","U2","1","Maxim","MAX6029EUK33+T","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX6029EUK33-T/1518987"
"22","IC AMP CLASS AB MONO 14TDFN","U3","1","Maxim","MAX9814ETD+T","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9814ETD-T/1703775"
"23","IC AMP CLASS D STEREO 2.8W 20QFN","U4","1","Texas Instruments","TPA2016D2RTJR","https://www.digikey.com/en/products/detail/texas-instruments/TPA2016D2RTJR/2183785"
"24","IC DAC 12BIT V-OUT 10MSOP","U5","1","Microchip","MCP48FVB22-E/UN","https://www.digikey.com/en/products/detail/microchip-technology/MCP48FVB22-E-UN/5773467"
"25","IC REG LINEAR 3.3V 1A SOT223-4","VR1","1","Texas Instruments","TLV1117LV33DCYR","https://www.digikey.com/en/products/detail/texas-instruments/TLV1117LV33DCYR/2666508"
