Line #,Description,Designator,Quantity,Manufacturer,Part Number,Purchasing Link

"1","CAP CER 1UF 25V X7R 0805","C1, C14","2","Samsung","CL21B105KAFNFNE","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNFNE/3888584"
"2","CAP CER 1UF 25V X7R 0603","C2","1","Murata","GCM188R71E105KA64D","https://www.digikey.com/en/products/detail/murata-electronics/GCM188R71E105KA64D/4903956"
"3","CAP CER 100PF 50V C0G/NP0 0402","C3, C4, C5","3","Murata","GCM1555C1H101JA16D","https://www.digikey.com/en/products/detail/murata-electronics/GCM1555C1H101JA16D/4903548"
"4","CAP CER 0.1UF 50V X7R 0402","C6, C11, C13","3","Murata","GRM155R71H104KE14D","https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71H104KE14D/4906220"
"5","CAP CER 12PF 50V C0G/NP0 0402","C7, C8, C9, C10","4","Murata","GJM1555C1H120GB01D","https://www.digikey.com/en/products/detail/murata-electronics/GJM1555C1H120GB01D/2592851"
"6","CAP CER 4.7UF 25V X5R 0603","C12","1","Murata","GRM188R61E475KE11D","https://www.digikey.com/en/products/detail/murata-electronics/GRM188R61E475KE11D/3900465"
"7","LED GREEN CLEAR CHIP SMD","D1","1","Vishay Lite-On","LTST-C171GKT","https://www.digikey.com/en/products/detail/liteon/LTST-C171GKT/386793"
"8","DIODE SCHOTTKY 30V 5A PMDS","D2","1","Rohm","RBR5L30BDDTE25","https://www.digikey.com/en/products/detail/rohm-semiconductor/RBR5L30BDDTE25/12359527"
"9","RF FILTR LO PASS 2.4-2.5GHZ 0402","FL1","1","Johanson","2450FM07A0029T","https://www.digikey.com/en/products/detail/johanson-technology-inc/2450FM07A0029001T/6187664"
"10","CONN HDR 20POS 0.1 TIN SMD","J1, J2, J5","3","Sullins","NPTC102KFMS-RC","https://www.digikey.com/en/products/detail/sullins-connector-solutions/NPTC102KFMS-RC/776139"
"11","UMCC MICRO-COAX RECEPTACLE, GEN","J3","1","TE Connectivity","2337019-1","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/2337019-1/9974052"
"12","CONN HEADER SMD 20POS 2.54MM","J4","1","CNC Tech","3020-20-0300-00","https://www.digikey.com/en/products/detail/cnc-tech/3020-20-0300-00/3441742"
"13","FIXED IND 10UH 50MA 1.17 OHM SMD","L2","1","Murata","LQM18FN100M00D","https://www.digikey.com/en/products/detail/murata-electronics/LQM18FN100M00D/1016184"
"14","FIXED IND 15NH 560MA 172MOHM SMD","L3","1","Delta","0402HS-150EKTS","https://www.digikey.com/en/products/detail/delta-electronics-components/0402HS-150EKTS/9762739"
"15","RES 10K OHM 1% 1/8W 0805","R1","1","Yageo","RC0805FR-0710K(L)","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535"
"16","RES 330 OHM 1% 1/4W 0805","R2, R5","2","Yageo","RC0805FR-7W330RL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-7W330RL/12698865"
"17","RES SMD 43K OHM 0.1% 1/8W 0805","R3, R4, R6","3","Yageo","RT0805BRD0743KL","https://www.digikey.com/en/products/detail/yageo/RT0805BRD0743KL/1075897"
"18","IC XPND 400KHZ I2C SMBUS 24TSSOP","U1","1","NXP Semiconductors","PCA9555PW,118","https://www.digikey.com/en/products/detail/nxp-usa-inc/PCA9555PW-118/735672"
"19","IC RF TXRX+MCU BLUETOOTH 48VFQFN","U2","1","Nordic Semiconductor","NRF52810-QFAA-R7","https://www.digikey.com/en/products/detail/nordic-semiconductor-asa/NRF52810-QFAA-R7/7725408"
"20","IC GATE AND 1CH 2-INP SOT23-5","U3","1","Texas Instruments","SN74AHC1G08DBVR","https://www.digikey.com/en/products/detail/texas-instruments/SN74AHC1G08DBVR/276735"
"21","IC REG LINEAR 3.3V 1A SOT223-4","VR1","1","Texas Instruments","TLV1117LV33DCYR","https://www.digikey.com/en/products/detail/texas-instruments/TLV1117LV33DCYR/2666508"
"22","CRYSTAL 32.0000MHZ 8PF SMD","X1","1","ECS International","ECS-320-8-37CKM","https://www.digikey.com/en/products/detail/ecs-inc/ECS-320-8-37CKM/1693487"
"23","CRYSTAL 32.7680KHZ 9PF SMD","X2","1","ECS International","ECS-.327-9-34QS-TR","https://www.digikey.com/en/products/detail/ecs-inc/ECS-327-9-34QS-TR/6050737"
