Line #,Project,Description,Designator,Quantity,Manufacturer,Part Number,Purchasing Link

"1","P01-RADIO.PcbDoc, P01-LEDS.PcbDoc, P01-BASE.PcbDoc, P01-AUDIO.PcbDoc, P01-SERVO.PcbDoc","CAP CER 1UF 25V X7R 0805","C1, C2, C3, C9, C10, C14, C19, C20","14","Samsung","CL21B105KAFNFNE","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNFNE/3888584"
"2","P01-SERVO.PcbDoc, P01-AUDIO.PcbDoc","CAP CER 10UF 10V X7R 0805","C1, C17, C18","3","Samsung","CL21B106KPQNFNE","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B106KPQNFNE/3888592"
"3","P01-RADIO.PcbDoc","CAP CER 1UF 25V X7R 0603","C2","1","Murata","GCM188R71E105KA64D","https://www.digikey.com/en/products/detail/murata-electronics/GCM188R71E105KA64D/4903956"
"4","P01-RADIO.PcbDoc","CAP CER 100PF 50V C0G/NP0 0402","C3, C4, C5","3","Murata","GCM1555C1H101JA16D","https://www.digikey.com/en/products/detail/murata-electronics/GCM1555C1H101JA16D/4903548"
"5","P01-AUDIO.PcbDoc","CAP CER 0.1UF 25V X7R 0805","C3, C13, C14, C15, C16","5","Samsung","CL21B104KACNNNC","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KACNNNC/3886757"
"6","P01-AUDIO.PcbDoc","CAP TANT 0.1UF 10% 35V 0805","C4, C6, C21","3","Kyocera AVX","TAJR104K035RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR104K035RNJ/1470303"
"7","P01-AUDIO.PcbDoc","CAP TANT 2.2UF 10% 20V 0805","C5, C8","2","Kyocera AVX","TAJR225K020RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR225K020RNJ/1765927"
"8","P01-RADIO.PcbDoc","CAP CER 0.1UF 50V X7R 0402","C6, C11, C13","3","Murata","GRM155R71H104KE14D","https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71H104KE14D/4906220"
"9","P01-AUDIO.PcbDoc","CAP TANT 0.47UF 10% 20V 0805","C7","1","Kyocera AVX","TAJR474K020RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR474K020RNJ/1126892"
"10","P01-RADIO.PcbDoc","CAP CER 12PF 50V C0G/NP0 0402","C7, C8, C9, C10","4","Murata","GJM1555C1H120GB01D","https://www.digikey.com/en/products/detail/murata-electronics/GJM1555C1H120GB01D/2592851"
"11","P01-AUDIO.PcbDoc","CAP TANT 10UF 20% 6.3V 0805","C11, C12","2","Kyocera AVX","TAJR106M006RNJ","https://www.digikey.com/en/products/detail/kyocera-avx/TAJR106M006RNJ/808790"
"12","P01-RADIO.PcbDoc","CAP CER 4.7UF 25V X5R 0603","C12","1","Murata","GRM188R61E475KE11D","https://www.digikey.com/en/products/detail/murata-electronics/GRM188R61E475KE11D/3900465"
"13","P01-LEDS.PcbDoc","LED BLUE CLEAR 2PLCC SMD","D00, D01, D02, D03, D04, D05, D06, D07, D08, D09, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19","20","SunLED","XZFBB45S-9","https://www.digikey.com/en/products/detail/sunled/XZFBB45S-9/4901947"
"14","P01-RADIO.PcbDoc, P01-SERVO.PcbDoc, P01-BASE.PcbDoc, P01-AUDIO.PcbDoc, P01-LEDS.PcbDoc","LED GREEN CLEAR CHIP SMD","D1, D2, D3","6","Vishay Lite-On","LTST-C171GKT","https://www.digikey.com/en/products/detail/liteon/LTST-C171GKT/386793"
