Comment,Designator,Footprint,JLCPCB Part #
CAP CER 1UF 25V X7R 0805,"C1, C2",CL21B105KAFNFNE,C1712 
LED GREEN CLEAR CHIP SMD,D1,LTST-C171GKT,C913075 
DIODE SCHOTTKY 30V 5A PMDS,"D2, D4, D5, D7, D8",RBR5L30BDDTE25,
CONN HEADER SMD 20POS 2.54MM,"J1, J2, J5, J6, J7, J8, J9, J10, J11, J12, J15, J16",95278-101-20LF,C599179 
CONN HEADER SMD 46POS 2.54MM,"J3, J4",95278-101-46LF,C3334917 
CONN HDR 18POS 0.1 GOLD PCB R/A,J13,PPPC092LJBN-RC,C3321108 
CONN HDR 11POS 0.1 GOLD PCB,J14,PPPC111LFBN-RC,
RES 2.2K OHM 1% 1/8W 0805,"R1, R2, R3, R4",RC0805FR-072K2L,C114561 
RES 10K OHM 1% 1/8W 0805,"R5, R7",RC0805FR-0710K(L),C84376 
RES 330 OHM 1% 1/4W 0805,R6,RC0805FR-7W330RL,
THUMBSTICK DUAL AXIS W/MOM PB,SW1,THB001P,C2685355 
IC BUF NON-INVERT 3.6V 20TSSOP,"U1, U2","74LVC244APW,118",C6079 
IC REG LINEAR 3.3V 1A SOT223-4,VR1,TLV1117LV33DCYR,C15578 
