Comment,Designator,Footprint,JLCPCB Part #
CAP CER 1UF 25V X7R 0805,"C1, C2",CL21B105KAFNFNE,C1712 
LED BLUE CLEAR 2PLCC SMD,"D00, D01, D02, D03, D04, D05, D06, D07, D08, D09, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19",XZFBB45S-9,C5201632 
LED GREEN CLEAR CHIP SMD,D3,LTST-C171GKT,C913075 
CONN HDR 20POS 0.1 TIN SMD,"J1, J2",NPTC102KFMS-RC,C3319203 
RES 10K OHM 1% 1/8W 0805,R1,RC0805FR-0710K(L),C84376 
RES 330 OHM 1% 1/4W 0805,R2,RC0805FR-7W330RL,
RES 2.87K OHM 1% 1/8W 0805,R7,RC0805FR-072K87L,C137553 
SWITCH TACTILE SPST-NO 0.05A 12V,"SW1, SW2, SW3, SW4",TL9210AF260Q,C2886930 
IC LED DRV LIN PWM 65MA 38HTSSOP,U1,PCA9956BTWY,C2678558 
IC XPND 400KHZ I2C SMBUS 24TSSOP,U2,PCA9555PW118,C128392 
IC REG LINEAR 3.3V 1A SOT223-4,VR1,TLV1117LV33DCYR,C15578 
