Comment,Designator,Footprint,JLCPCB Part #
CAP CER 10UF 10V X7R 0805,C1,CL21B106KPQNFNE,C307538 
CAP CER 1UF 25V X7R 0805,"C2, C3",CL21B105KAFNFNE,C1712 
LED GREEN CLEAR CHIP SMD,"D1, D2",LTST-C171GKT,C913075 
CONN HDR 20POS 0.1 TIN SMD,"J1, J3, J4",NPTC102KFMS-RC,C3319203 
CONN HEADER VERT 48POS 2.54MM,J2,TSW-116-07-L-T,
RES ARRAY 8 RES 220 OHM 1506,"R1, R2",EXB-2HV221JV,
RES 10K OHM 1% 1/8W 0805,R3,RC0805FR-0710K(L),C84376 
RES 330 OHM 1% 1/4W 0805,"R4, R5",RC0805FR-7W330RL,
IC LED DRVR LIN PWM 25MA 28TSSOP,U1,PCA9685PW-118,C2678753 
IC REG LINEAR 3.3V 1A SOT223-4,VR1,TLV1117LV33DCYR,C15578 
