"Designator","Mid X","Mid Y","Layer","Rotation"
"MK1","44.7040mm","-23.3840mm","TopLayer","0"
"J5","28.2050mm","42.4140mm","TopLayer","180"
"J4","39.7050mm","42.4140mm","TopLayer","180"
"FB3","55.3491mm","16.4520mm","BottomLayer","180"
"D1","38.2230mm","-32.2740mm","TopLayer","180"
"C19","27.5512mm","25.1408mm","BottomLayer","90"
"U1","38.2230mm","28.4505mm","TopLayer","0"
"R1","38.2230mm","-34.8140mm","TopLayer","0"
"J2","38.2230mm","-28.4640mm","BottomLayer","270"
"VR1","30.2602mm","12.7910mm","BottomLayer","0"
"U5","49.4864mm","19.1315mm","TopLayer","180"
"U4","27.5512mm","29.0908mm","TopLayer","90"
"U3","55.9572mm","-17.8561mm","TopLayer","180"
"U2","48.9214mm","19.1314mm","BottomLayer","0"
"R5","44.6967mm","34.8140mm","BottomLayer","270"
"R4","52.1352mm","-21.1901mm","BottomLayer","0"
"R3","55.9532mm","-21.1901mm","BottomLayer","0"
"R2","55.9531mm","-21.1900mm","TopLayer","180"
"J3","64.9000mm","18.7384mm","BottomLayer","180"
"J1","38.2230mm","28.4640mm","BottomLayer","270"
"FB2","27.5467mm","24.7208mm","TopLayer","0"
"FB1","59.7590mm","-14.3320mm","BottomLayer","0"
"C21","27.5512mm","33.0408mm","BottomLayer","270"
"C20","27.5507mm","33.4608mm","TopLayer","180"
"C18","29.8372mm","33.0408mm","BottomLayer","270"
"C17","29.8372mm","25.1408mm","BottomLayer","90"
"C16","55.3491mm","21.0245mm","TopLayer","180"
"C15","55.3491mm","18.7385mm","TopLayer","180"
"C14","55.3491mm","16.4520mm","TopLayer","180"
"C13","53.5871mm","21.0245mm","BottomLayer","180"
"C12","51.8011mm","16.4520mm","BottomLayer","0"
"C11","53.5791mm","18.7385mm","BottomLayer","180"
"C10","25.2652mm","33.0408mm","BottomLayer","270"
"C9","25.2652mm","25.1408mm","BottomLayer","90"
"C8","59.7631mm","-16.6180mm","BottomLayer","180"
"C7","55.9531mm","-18.9040mm","BottomLayer","180"
"C6","59.7631mm","-21.1900mm","BottomLayer","180"
"C5","59.7631mm","-18.9040mm","BottomLayer","0"
"C4","52.1348mm","-18.9040mm","BottomLayer","0"
"C3","45.0620mm","19.4350mm","BottomLayer","270"
"C2","24.5910mm","10.8820mm","BottomLayer","90"
"C1","24.5910mm","14.6920mm","BottomLayer","90"
