"Designator","Mid X","Mid Y","Layer","Rotation"
"R7","-30.7300mm","6.6830mm","BottomLayer","180"
"VR1","0.0000mm","-7.4590mm","TopLayer","90"
"U2","9.2075mm","21.1615mm","TopLayer","90"
"U1","-9.2075mm","21.1615mm","TopLayer","270"
"R6","0.0000mm","8.1585mm","TopLayer","0"
"J16","63.6260mm","0.0000mm","BottomLayer","270"
"J15","-63.6260mm","0.0000mm","BottomLayer","270"
"C2","-1.9090mm","-13.1282mm","TopLayer","0"
"C1","1.9010mm","-13.1282mm","TopLayer","0"
"J12","-38.2270mm","-28.4640mm","TopLayer","270"
"J10","-38.2270mm","28.4640mm","TopLayer","270"
"R5","50.2110mm","-2.4130mm","BottomLayer","90"
"R4","-28.1900mm","-37.3542mm","TopLayer","180"
"R3","-21.5900mm","-35.6990mm","BottomLayer","270"
"D2","30.5360mm","-38.6240mm","TopLayer","270"
"D1","0.0000mm","10.6985mm","TopLayer","180"
"J4","24.1300mm","-0.9365mm","BottomLayer","90"
"D4","30.5360mm","-19.2565mm","BottomLayer","270"
"D5","30.5360mm","-17.2565mm","TopLayer","270"
"D8","15.6840mm","-19.2565mm","BottomLayer","270"
"J3","-24.1300mm","-0.9365mm","BottomLayer","90"
"D7","12.1840mm","-19.2565mm","BottomLayer","270"
"J8","38.2270mm","-28.4640mm","TopLayer","270"
"J7","38.2270mm","-28.4640mm","BottomLayer","270"
"J2","-21.5900mm","-28.4640mm","TopLayer","90"
"J1","21.5900mm","-28.4640mm","TopLayer","90"
"R2","27.5592mm","-20.4589mm","TopLayer","270"
"R1","27.5590mm","-16.1490mm","TopLayer","90"
"SW1","48.1635mm","-0.7600mm","TopLayer","0"
"J14","0.0000mm","0.2065mm","TopLayer","0"
"J13","0.0000mm","37.1915mm","TopLayer","180"
"J11","-38.2270mm","-28.4640mm","BottomLayer","270"
"J9","-38.2270mm","28.4640mm","BottomLayer","270"
"J6","38.2270mm","28.4640mm","TopLayer","270"
"J5","38.2270mm","28.4640mm","BottomLayer","270"
