"Designator","Mid X","Mid Y","Layer","Rotation"
"VR1","-27.3360mm","37.3540mm","BottomLayer","90"
"U2","-58.7360mm","20.8440mm","BottomLayer","180"
"D15","-35.1860mm","3.8970mm","BottomLayer","90"
"D10","-43.0360mm","11.7470mm","BottomLayer","90"
"D09","-50.8860mm","-11.8030mm","BottomLayer","90"
"D04","-58.7360mm","-3.9530mm","BottomLayer","90"
"D16","-35.1860mm","-3.9530mm","BottomLayer","90"
"D11","-43.0360mm","3.8970mm","BottomLayer","90"
"D03","-58.7360mm","3.8970mm","BottomLayer","90"
"D17","-35.1860mm","-11.8030mm","BottomLayer","90"
"D12","-43.0360mm","-3.9530mm","BottomLayer","90"
"C2","-25.4270mm","31.6848mm","BottomLayer","180"
"C1","-29.2370mm","31.6848mm","BottomLayer","180"
"U1","-50.8860mm","-22.1140mm","BottomLayer","0"
"SW4","-27.3360mm","20.8440mm","TopLayer","270"
"SW2","-43.0360mm","20.8440mm","TopLayer","270"
"SW3","-35.1860mm","20.8440mm","TopLayer","270"
"SW1","-50.8860mm","20.8440mm","TopLayer","270"
"R7","-52.9670mm","-28.3140mm","BottomLayer","180"
"R2","-38.2230mm","-34.8140mm","TopLayer","0"
"R1","-43.9200mm","-19.5860mm","BottomLayer","90"
"J2","-38.2230mm","-28.4640mm","BottomLayer","270"
"J1","-38.2230mm","28.4640mm","BottomLayer","270"
"D18","-27.3360mm","11.7470mm","BottomLayer","90"
"D08","-50.8860mm","-3.9530mm","BottomLayer","90"
"D13","-43.0360mm","-11.8030mm","BottomLayer","90"
"D02","-58.7360mm","11.7470mm","BottomLayer","90"
"D07","-50.8860mm","3.8970mm","BottomLayer","90"
"D19","-27.3360mm","3.8970mm","BottomLayer","90"
"D01","-66.5860mm","-11.8030mm","BottomLayer","90"
"D06","-50.8860mm","11.7470mm","BottomLayer","90"
"D14","-35.1860mm","11.7470mm","BottomLayer","90"
"D3","-38.2230mm","-32.2740mm","TopLayer","180"
"D00","-66.5860mm","11.7470mm","BottomLayer","90"
"D05","-58.7360mm","-11.8030mm","BottomLayer","90"
