"Designator","Mid X","Mid Y","Layer","Rotation"
"R5","38.2270mm","-27.1940mm","TopLayer","0"
"D2","38.2270mm","-24.6540mm","TopLayer","180"
"VR1","63.8803mm","-19.0500mm","BottomLayer","0"
"R4","38.2270mm","-34.8140mm","TopLayer","0"
"D1","38.2270mm","-32.2740mm","TopLayer","180"
"C3","58.2113mm","-20.9590mm","BottomLayer","90"
"C2","58.2113mm","-17.1490mm","BottomLayer","90"
"C1","34.3180mm","3.2730mm","BottomLayer","270"
"R3","37.5680mm","5.0430mm","BottomLayer","270"
"U1","38.5430mm","0.0000mm","TopLayer","90"
"R2","40.4930mm","6.2483mm","TopLayer","270"
"R1","39.8430mm","-6.2483mm","TopLayer","90"
"J4","38.2270mm","-28.4640mm","BottomLayer","270"
"J3","63.6263mm","0.0005mm","BottomLayer","270"
"J2","50.5593mm","0.0000mm","TopLayer","90"
"J1","38.2270mm","28.4640mm","BottomLayer","270"
